ID	Arabic Name / الاسم بالعربي	Scientific Name / الاسم العلمي	العائلة	Classification / التصنيف	Seed Shape (Arabic) / شكل البذرة	Cotyledon Type / نوع الفلقة	Flower Type / نوع الزهرة	Male Flowers			Female Flowers			الزهرة أحادية الجنس (خنثى)			
23	الشويعرة	Bromus	Poaceae	اقتصادي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
24	الرمث	Haloxylon	Amaranthaceae	بري	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						4 الى 5 تبالات		4 الى 5 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
25	البرتقال	Citrus Aurantium	Rutaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						4 الى 5 سبالات	4 الى 5 بتلات	8 الى 10	4 الى 5 الكربلات تندمج لتشكل مبيض كبير
26	الشوك	Prosopis farcta	Fabaceae	بري	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات مندمجة	5 بتلات	10 اسدية مندمجة	كربلة واحدة تشكل مبيض كبير
27	العاقول	Phragmitis australis	Poaceae	بري	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
28	القصب	Alhagi graecorum	Poaceae	اقتصادي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
29	البطنج	Stachys	Lamiaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات مندمجة	5 مندمجة عادة ذات شفتين	4 اسدية	2 من الكربلات التندمج تشكل مبيض كبير
30	النخيل	Phoenix	Arecaceae	اقتصادي	مغطاة البذور	فلقة واحدة	أحادية الجنس	3 سبالات	3 بتلات	6 الى عدد غير محدد من الاسدية	3 سبالات	3 بتلات	3 كربلات تندمج لتشكل مبيض كبير	الازهار أحادية الجنس			
31	الحنطة	Triticum	Poaceae	اقتصادي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
32	الشعير	Barley	Poaceae	اقتصادي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
33	الخروع	Ricinus communis	Euphorbiaceae	طبي	مغطاة البذور	فلقتين	أحادية الجنس	1 الى 6 سبالات	لا يوجد	1 الى عدد غير محدد من الاسدية	لا يوجد	لا يوجد	3 كربلات تندمج لتشكل مبيض كبير	الازهار أحادية الجنس			
34	السوسن	Iris	Iridaceae	طبي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						3 سبالات متماثلة	3 بتلات متماثلة	3 اسدية	3 كربلات تندمج تشكل مبيض صغير
35	الذرة الصفراء	Zea mays	Poaceae	اقتصادي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						2 الى 3 صغيرة	2 الى 3 صغيرة	1 الى 3 اسدية	2 الى 3 كربلات تندمج تشكل مبيض كبير
36	البصل	Allium cepa	Amaryllidaceae	اقتصادي	مغطاة البذور	فلقة واحدة	ثنائية الجنس	الزهرة خنثى						3 سبالات متماثلة	3 بتلات متماثلة	6 اسدية	3 كربلات تندمج تشكل مبيض صغير
37	الطماطم	Solanum lycopersicum	Solanaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات مندمجة	5 بتلات مندمجة	5 اسدية	2 من الكربلات التندمج تشكل مبيض كبير
38	الباذنجان	Solanum melongena	Solanaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات مندمجة	5 بتلات مندمجة	5 اسدية	2 من الكربلات التندمج تشكل مبيض كبير
39	الفلفل	Capsicum	Solanaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات مندمجة	5 بتلات مندمجة	5 اسدية	2 من الكربلات التندمج تشكل مبيض كبير
40	الباميا	Abelmoschus esculentus	Malvaceae	اقتصادي	مغطاة البذور	فلقتين	ثنائية الجنس	الزهرة خنثى						5 سبالات	5 بتلات	عدد غير محدد	2 الى عدد غير محدد من الكربلات التندمج تشكل مبيض كبير
